molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL3686747,3000.0,nM,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1B(O)O,5.522878745280337
CHEMBL184262,3000.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1ccccc1,5.522878745280337
CHEMBL214381,3000.0,nM,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@@H](C)CC,5.522878745280337
CHEMBL383705,3000.0,nM,CC(C)[C@H](N)C(=O)N1CCCC1,5.522878745280337
CHEMBL494497,3000.0,nM,N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1B(O)O,5.522878745280337
CHEMBL96183,3000.0,nM,O=C(CNCCNc1ccc([N+](=O)[O-])cn1)N1CCSC1,5.522878745280337
CHEMBL184442,3028.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1ccc(Cl)cc1,5.518844129171965
CHEMBL218306,3050.0,nM,C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,5.515700160653214
CHEMBL257589,3059.0,nM,CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,5.514420523015321
CHEMBL366549,3100.0,nM,N[C@@H](CC(=O)N1CCNCC1)Cc1ccc(F)c(F)c1,5.508638306165727
CHEMBL459881,3100.0,nM,Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)NCc1ccc(S(N)(=O)=O)cc1)Cc1cc(F)c(F)cc1F,5.508638306165727
CHEMBL1771583,3100.0,nM,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2cccc(C(F)(F)F)c2)c1,5.508638306165727
CHEMBL482070,3100.0,nM,CS(=O)(=O)N1CCCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1.Cl,5.508638306165727
CHEMBL5285191,3160.0,nM,C[C@H]1CCN(C(=O)CNc2cc3cc(-c4ccccc4)c(-c4ccccc4)cc3oc2=O)C1,5.500312917381596
CHEMBL371907,3236.0,nM,N#C[C@@H]1CCCN1C(=O)CNCC(=O)N1CCc2ccccc2C1,5.489991487059765
CHEMBL501314,3250.0,nM,COC(=O)c1ccc(C(N)Cc2cc(F)c(F)cc2F)cc1,5.488116639021126
CHEMBL363879,3279.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1ccc(F)cc1,5.484258583330635
CHEMBL234613,3300.0,nM,CCCC[C@H]1CN(c2ccc(Cl)c(Cl)c2)CC[C@H]1N,5.481486060122112
CHEMBL371907,3300.0,nM,N#C[C@@H]1CCCN1C(=O)CNCC(=O)N1CCc2ccccc2C1,5.481486060122112
CHEMBL378152,3300.0,nM,NCc1cccnc1-c1ccccc1Cl,5.481486060122112
CHEMBL365834,3300.0,nM,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(C(=O)O)c1)C1CCCCC1.O=C(O)C(F)(F)F,5.481486060122112
CHEMBL470171,3300.0,nM,N[C@@H](CC(=O)NC1(c2ccccc2)CCSCC1)Cc1ccccc1F,5.481486060122112
CHEMBL90170,3350.0,nM,OCc1ccc(-c2ccc(-c3cccs3)s2)s1,5.474955192963154
CHEMBL145,3370.0,nM,O=C(O)/C=C/c1ccc(O)c(O)c1,5.4723700991286615
CHEMBL480549,3400.0,nM,CC(=O)N1CCCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1.Cl,5.468521082957745
CHEMBL544475,3400.0,nM,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,5.468521082957745
CHEMBL3329625,3400.0,nM,CC1(C)C(=O)N(Cc2ccccc2C#N)c2c(N3CCC[C@@H](N)C3)ccnc21,5.468521082957745
CHEMBL2147185,3400.0,nM,CCCn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccccc21.Cl,5.468521082957745
CHEMBL471784,3430.0,nM,CNC(=O)c1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1,5.464705879957229
CHEMBL1976036,3440.0,nM,O=C(N/N=C/c1cccc2ccccc12)c1[nH]nc2c1CCCC2,5.46344155742847
CHEMBL246373,3470.0,nM,C[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,5.459670525209127
CHEMBL4749086,3500.0,nM,O=[N+]([O-])c1ccccc1Nc1cc(N2CCNCC2)nc2ccnn12,5.455931955649724
CHEMBL142703,3500.0,nM,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,5.455931955649724
CHEMBL1160335,3500.0,nM,CC(=O)OCc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F,5.455931955649724
CHEMBL148261,3500.0,nM,CCC(C)C(N)C(=O)N1CCC(F)C1,5.455931955649724
CHEMBL394662,3500.0,nM,CCCC[C@H]1CN(c2ccccc2)CC[C@H]1N,5.455931955649724
CHEMBL2147064,3500.0,nM,Cl.Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2CCc2ccccc2Cl)c2cc(C(=O)O)ccc21,5.455931955649724
CHEMBL460886,3500.0,nM,CC[C@H](C)[C@H](N)C(=O)N1CCC(F)C1,5.455931955649724
CHEMBL190031,3500.0,nM,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](CN1CCCC1)c1ccc(-c2ccc(F)cc2)cc1.O=C(O)C(F)(F)F,5.455931955649724
CHEMBL450211,3580.0,nM,N[C@H](Cc1cc(F)c(F)cc1F)C1CCCCC1,5.446116973356125
CHEMBL370079,3600.0,nM,C[C@@H](c1ccc(S(C)(=O)=O)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.443697499232712
CHEMBL479536,3600.0,nM,CCOC(=O)[C@H](Oc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(C)C.Cl,5.443697499232712
CHEMBL365875,3600.0,nM,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1C(=O)O)C1CCCCC1.O=C(O)C(F)(F)F,5.443697499232712
CHEMBL185538,3611.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1cccc(C(F)(F)F)c1,5.442372511573174
CHEMBL3357768,3660.0,nM,N[C@@H](CC(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F,5.436518914605589
CHEMBL509391,3670.0,nM,N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3nccc4ccccc34)C[C@@H]21,5.435333935747911
CHEMBL191823,3700.0,nM,C[C@@H](c1cccc(F)c1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.431798275933005
CHEMBL462564,3700.0,nM,Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)NCc1nc2ccccc2[nH]1)Cc1cc(F)c(F)cc1F,5.431798275933005
CHEMBL184624,3700.0,nM,N[C@@H](CC(=O)N1CCNCC1)Cc1ccccc1F,5.431798275933005
CHEMBL179687,3700.0,nM,N#C[C@@H]1CCCC1C(=O)CNCc1ccc(F)cc1,5.431798275933005
CHEMBL461092,3700.0,nM,N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N1CCSC1,5.431798275933005
CHEMBL195270,3700.0,nM,C[C@@H](c1cc(F)cc(F)c1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.431798275933005
CHEMBL184624,3700.0,nM,N[C@@H](CC(=O)N1CCNCC1)Cc1ccccc1F,5.431798275933005
CHEMBL231091,3700.0,nM,N[C@H]1CN(c2nccc3ccccc23)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,5.431798275933005
CHEMBL184624,3700.0,nM,N[C@@H](CC(=O)N1CCNCC1)Cc1ccccc1F,5.431798275933005
CHEMBL392085,3730.0,nM,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3ccc(C)c(C)c3)CN1CC2,5.428291168191312
CHEMBL4245414,3730.0,nM,O=C(CN1CCN(c2ccnc3cc(Cl)ccc23)CC1)N1CCCC1,5.428291168191312
CHEMBL471785,3740.0,nM,N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3ccc(C(=O)NC4CC4)cc3)C[C@@H]21,5.427128397799519
CHEMBL217532,3800.0,nM,C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccccc1F,5.42021640338319
CHEMBL1650448,3800.0,nM,Cn1c(=O)cc(N2CCCCC(N)C2)n(Cc2ccccc2C#N)c1=O,5.42021640338319
CHEMBL1812737,3800.0,nM,CCCCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,5.42021640338319
CHEMBL220021,3820.0,nM,C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,5.417936637088291
CHEMBL534959,3850.0,nM,Cl.N[C@@H](CC(=O)N1CCCN1)Cc1cc(F)c(F)cc1F,5.414539270491499
CHEMBL4456228,3900.0,nM,O=c1[nH]c(=O)c2c(nc(N3CCNCC3)n2Cc2ccccc2)[nH]1,5.4089353929735005
CHEMBL453573,3900.0,nM,CC[C@@H](C)[C@H](N)C(=O)N1CCCC1,5.4089353929735005
CHEMBL235133,3900.0,nM,Cn1c(=O)[nH]c(=O)c2c1nc(N1CCNCC1)n2Cc1ccccc1,5.4089353929735005
CHEMBL172730,3900.0,nM,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccccc2-c2ccccc2)C1,5.4089353929735005
CHEMBL3618036,4000.0,nM,Cc1nc2c(cnn2-c2ccccc2)c(=O)n1-c1ccccn1,5.3979400086720375
CHEMBL383705,4000.0,nM,CC(C)[C@H](N)C(=O)N1CCCC1,5.3979400086720375
CHEMBL383705,4000.0,nM,CC(C)[C@H](N)C(=O)N1CCCC1,5.3979400086720375
CHEMBL1771584,4000.0,nM,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2ccccc2C(F)(F)F)c1,5.3979400086720375
CHEMBL65406,4000.0,nM,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,5.3979400086720375
CHEMBL503274,4000.0,nM,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,5.3979400086720375
CHEMBL3799074,4000.0,nM,CC[C@@H](C)[C@H](N)C(=O)N1C[C@H]2C[C@H]2[C@H]1C#N.O=C(O)C(F)(F)F,5.3979400086720375
CHEMBL1812905,4000.0,nM,CC(C)Cn1c(CN)c(-c2ccccc2)c2cc(C(=O)N(C)C)ccc2c1=O.Cl,5.3979400086720375
CHEMBL256826,4000.0,nM,Cn1cnc2ccc(-c3ccccc3C(N)=O)c(CN)c21,5.3979400086720375
