molecule_chembl_id,IC50,units,smiles,pIC50,ROMol,molecular_weight,n_hba,n_hbd,logp,n_rotatable,n_aromatic_rings
CHEMBL4588692,0.44,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1cc(OC)ccc1C(=O)O)c(=O)n2C,9.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856d50>,480.2121179959999,10,2,0.6026000000000016,6,3
CHEMBL5220474,0.46,nM,COC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,9.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856dc0>,410.18417193199997,5,1,2.6881000000000004,7,2
CHEMBL540888,0.46,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,9.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856e30>,551.1322855120001,5,1,4.361200000000004,6,3
CHEMBL3644460,0.46,nM,N#Cc1[nH]nc2c1CN([C@H]1CSC(c3cc(F)ccc3F)[C@@H](N)C1)C2,9.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856ea0>,361.11727298400007,5,2,2.449280000000001,2,2
CHEMBL63860,0.46,nM,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,9.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856f10>,186.11757273999999,4,3,-1.663399999999999,2,0
CHEMBL5287917,0.48,nM,CC(C)[C@H](Nc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)ccc2F)cc1)C(=O)O,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856f80>,516.2548120079999,5,4,3.0532000000000012,11,2
CHEMBL1186023,0.48,nM,CC(C)[C@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)ccc2F)cc1)C(=O)O,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856ff0>,517.238827596,5,3,3.0201000000000002,11,2
CHEMBL2147070,0.48,nM,Cl.Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2Cl)c2ccc(C(=O)O)cc21,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857060>,519.1240232079999,7,2,3.776500000000002,4,4
CHEMBL445949,0.48,nM,CC(C)[C@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8570d0>,631.231691528,6,4,3.6534000000000004,11,2
CHEMBL364102,0.48,nM,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857140>,631.231691528,6,4,3.6534000000000004,11,2
CHEMBL216178,0.49,nM,N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1ccccn1)Cc1cc(F)c(F)cc1F,9.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8571b0>,420.177310636,4,2,1.7186000000000003,6,2
CHEMBL1951598,0.5,nM,COc1cccc(C(=O)Cn2c(=O)c3c(c(C#N)c(N4CCC[C@H](N)C4)n3CC=C(C)C)n(C)c2=O)c1,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857220>,504.24850350400004,10,1,2.158579999999999,7,3
CHEMBL1229820,0.5,nM,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857290>,370.2056563240001,4,1,3.5873000000000026,4,2
CHEMBL2425059,0.5,nM,N[C@H]1C[C@@H](N2Cc3cnc(C(F)(F)F)nc3C2)CC[C@@H]1c1cc(F)c(F)cc1F,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857300>,416.143565896,4,1,3.8919000000000032,2,2
CHEMBL5278252,0.5,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c(C)c(=O)n(Cc3nc(C)c4c(F)cccc4n3)c(=O)n21,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857370>,490.22410032400006,10,1,1.3559399999999995,4,4
CHEMBL3805751,0.5,nM,Cc1ccn2nc3c(c2n1)CN([C@H]1CO[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8573e0>,403.16199492000004,6,1,2.628120000000001,2,3
CHEMBL3805154,0.5,nM,Cc1cc(O)n2nc3c(c2n1)CN([C@H]1CO[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857450>,419.15690954,7,2,2.3337200000000005,2,3
CHEMBL3654424,0.5,nM,Cc1c2c(nn1S(=O)(=O)C1(C)CC1)CN([C@H]1CCO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8574c0>,466.185018196,7,1,2.763320000000001,4,2
CHEMBL591279,0.5,nM,COc1cc2c(cc1OC)[C@@H]1CC(N)[C@@H](c3cccc(CF)c3)CN1CC2,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857530>,370.2056563240001,4,1,3.5873000000000026,4,2
CHEMBL2058756,0.5,nM,N#Cc1ccc2oc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8575a0>,412.16814500800007,8,1,1.08488,3,2
CHEMBL1951432,0.5,nM,CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857610>,467.243358548,8,1,3.5598800000000024,5,4
CHEMBL536536,0.5,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c1ccc(F)cc1)Cc1cc(F)c(F)cc1F,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857680>,567.127200132,6,2,3.8521000000000027,6,3
CHEMBL3644456,0.5,nM,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CSC(c3cc(F)cc(F)c3F)[C@@H](N)C1)C2,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8576f0>,432.0901525080001,7,1,1.9977999999999998,3,2
CHEMBL2058975,0.51,nM,N#Cc1cnc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc12,9.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f857760>,422.188880452,7,1,1.4918799999999999,3,2
